A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
a,Q4,Q2,u,g,j,j,Q1,t,f,Q1,t,g,Q2,Q3,-
b,Q4,Q4,y,p,c,h,Q4,t,f,Q1,f,g,Q2,Q1,-
b,Q3,Q4,u,g,c,v,Q2,t,f,Q1,f,g,Q2,Q1,-
b,?,Q3,y,p,aa,v,Q4,t,f,Q1,f,g,Q1,Q1,-
b,Q4,Q2,y,p,c,h,Q4,t,f,Q1,t,g,Q3,Q3,-
b,Q3,Q2,y,p,c,v,Q3,t,f,Q1,t,g,Q1,Q3,-
a,Q3,Q3,u,g,i,bb,Q2,t,f,Q1,t,g,Q3,Q1,-
b,Q2,Q1,y,p,aa,v,Q1,t,f,Q1,f,g,Q3,Q2,-
b,?,Q1,u,g,c,bb,Q2,t,f,Q1,t,s,Q4,Q1,-
a,Q1,Q4,y,p,q,v,Q4,t,f,Q1,t,g,Q3,Q1,-
a,Q2,Q1,u,g,q,v,Q2,t,t,Q2,t,g,Q3,Q4,-
b,Q3,Q2,y,p,c,bb,Q2,t,f,Q1,t,g,Q3,Q4,-
b,Q3,Q4,y,p,c,v,Q4,t,f,Q1,f,g,Q2,Q1,-
b,Q1,Q3,u,g,q,v,Q2,t,t,Q2,f,g,Q1,Q3,-
b,Q2,Q4,u,g,k,v,Q3,t,t,Q2,t,g,Q2,Q2,-
b,Q2,Q3,y,p,i,h,Q4,t,t,Q2,t,g,Q1,Q1,-
b,Q4,Q4,u,g,e,z,Q1,t,t,Q3,f,g,Q2,Q3,-
b,Q3,Q2,u,g,k,v,Q2,t,f,Q1,f,s,Q4,Q1,-
a,Q2,Q4,y,p,aa,v,Q4,t,f,Q1,f,g,Q2,Q1,-
b,Q4,Q2,y,p,x,h,Q4,t,f,Q1,t,g,Q3,Q1,-
a,Q1,Q1,u,g,c,v,Q2,t,t,Q3,t,g,Q2,Q2,-
b,Q3,Q3,u,g,w,v,Q4,t,t,Q2,t,g,Q4,Q1,-
a,Q2,Q2,y,p,ff,ff,Q2,t,t,Q2,f,g,Q3,Q3,-
b,Q2,Q4,u,g,w,v,Q2,t,f,Q1,t,g,Q3,Q1,-
a,Q3,Q1,u,g,k,bb,Q2,t,t,Q2,t,g,Q3,Q1,-
b,Q1,Q2,y,p,c,h,Q3,t,t,Q2,t,g,Q2,Q3,-
a,Q2,Q2,u,g,q,v,Q3,t,t,Q2,f,g,Q3,Q1,-
b,Q3,Q3,u,g,q,h,Q4,t,t,Q3,t,g,Q4,Q2,-
b,Q4,Q3,u,g,k,v,Q4,t,t,Q3,f,g,Q1,Q4,+
b,Q4,Q3,u,g,m,v,Q4,t,t,Q3,t,g,Q4,Q4,+
a,Q1,Q4,u,g,cc,h,Q2,t,t,Q2,t,g,Q2,Q3,+
b,Q4,Q3,u,g,q,v,Q1,t,t,Q2,f,g,Q3,Q3,+
b,Q2,Q4,u,g,cc,v,Q3,t,t,Q3,t,g,Q2,Q3,+
a,Q2,Q4,u,g,aa,v,Q3,t,t,Q3,t,g,Q2,Q4,+
a,Q4,Q3,u,g,q,v,Q4,t,t,Q2,t,g,Q1,Q1,+
a,Q2,Q4,u,g,q,v,Q4,t,t,Q3,t,g,Q2,Q1,+
b,Q3,Q3,u,g,x,h,Q4,t,t,Q3,t,g,Q1,Q4,+
b,Q4,Q2,u,g,m,bb,Q3,t,t,Q3,t,g,Q4,Q4,+
b,Q2,Q4,u,g,q,v,Q3,t,t,Q3,t,g,Q2,Q4,+
b,Q3,Q3,u,g,i,bb,Q4,t,t,Q2,f,g,Q3,Q4,+
a,Q2,Q3,u,g,w,v,Q2,t,f,Q1,f,s,Q4,Q1,+
b,Q4,Q3,u,g,e,z,Q4,t,t,Q2,t,g,Q1,Q1,+
b,Q1,Q2,u,g,c,v,Q3,t,t,Q2,f,g,Q2,Q3,+
a,Q4,Q4,u,g,e,bb,Q4,t,t,Q3,f,g,Q4,Q4,+
b,Q3,Q3,u,g,c,bb,Q3,t,t,Q3,f,g,Q1,Q3,+
b,Q3,Q3,u,g,q,h,Q4,t,t,Q3,t,g,Q4,Q4,+
b,Q4,Q3,u,g,q,h,Q4,t,f,Q1,t,g,Q4,Q1,+
b,Q4,Q1,y,p,aa,v,Q2,t,t,Q2,f,g,Q3,Q4,+
b,Q3,Q2,u,g,m,v,Q4,t,t,Q3,f,g,Q3,Q1,+
a,Q1,Q4,u,g,w,v,Q3,t,t,Q3,t,g,Q1,Q4,+
a,Q2,Q4,u,g,q,h,Q4,t,t,Q2,f,g,Q1,Q4,+
a,Q3,Q3,u,g,cc,h,Q2,t,t,Q3,t,g,Q3,Q1,+
a,Q4,Q4,u,g,j,ff,Q1,t,t,Q3,f,g,Q1,Q3,+
b,Q4,Q1,y,p,cc,h,Q3,t,t,Q3,f,g,Q2,Q3,+
b,Q1,Q4,u,g,w,v,Q3,t,t,Q2,f,g,Q2,Q3,+
b,Q2,Q2,u,g,cc,h,Q4,t,t,Q3,f,g,Q4,Q4,+
b,Q3,Q2,u,g,cc,h,Q4,t,t,Q3,f,g,Q2,Q4,+
b,Q2,Q2,u,g,q,v,Q3,t,t,Q2,t,g,Q1,Q4,+
a,Q4,Q4,y,p,q,h,Q4,t,t,Q3,f,g,Q1,Q4,+
a,Q3,Q3,u,g,c,bb,Q4,t,t,Q3,t,g,Q1,Q4,+
a,Q4,Q4,u,g,c,v,Q4,t,t,Q3,f,g,Q1,Q4,+
a,Q4,Q1,u,g,cc,h,Q2,t,t,Q3,t,g,Q4,Q3,+
a,Q4,Q4,u,g,q,v,Q4,t,t,Q3,f,g,Q1,Q4,+
b,Q3,Q3,u,g,m,h,Q4,t,t,Q3,t,g,Q2,Q1,+
b,Q2,Q2,u,g,c,v,Q3,t,t,Q3,t,g,Q1,Q4,+
b,Q3,Q2,u,g,cc,h,Q4,t,t,Q2,t,g,Q1,Q1,+
a,Q1,Q4,y,p,j,j,Q1,t,t,Q3,t,g,Q1,Q1,+
a,Q2,Q3,y,p,x,h,Q3,t,t,Q2,f,g,Q1,Q1,+
a,Q4,Q4,u,g,e,z,Q1,t,t,Q3,f,g,Q1,Q4,+
b,Q2,Q2,u,g,k,h,Q4,t,t,Q2,t,g,Q3,Q1,+
b,Q3,Q1,y,p,m,bb,Q1,t,t,Q2,t,g,Q4,Q4,+
b,Q2,Q2,u,g,x,h,Q2,t,t,Q3,f,g,Q2,Q4,+
b,Q4,Q2,u,g,m,v,Q3,t,t,Q2,t,g,Q1,Q3,+
b,Q2,Q2,u,g,x,v,Q3,t,t,Q2,t,g,Q4,Q3,+
b,Q3,Q2,y,p,e,h,Q1,t,f,Q1,t,g,Q4,Q1,+
a,Q4,Q4,u,g,q,v,Q4,t,f,Q1,t,g,Q1,Q4,+
a,Q4,Q4,u,g,q,h,Q3,t,f,Q1,f,g,Q1,Q4,+
b,Q1,Q4,u,g,q,v,Q2,t,f,Q1,t,g,Q1,Q4,+
a,Q3,Q1,u,g,cc,v,Q1,t,f,Q1,f,g,Q4,Q4,+
b,Q3,Q3,u,g,q,h,Q4,t,f,Q1,t,g,Q2,Q4,+
b,Q3,Q2,y,p,d,v,Q3,f,f,Q1,t,g,Q4,Q1,+
a,Q2,Q2,y,p,aa,v,Q2,t,f,Q1,t,g,Q4,Q1,+
b,Q4,Q1,u,g,c,bb,Q4,t,f,Q1,f,g,Q1,Q1,+
b,Q4,Q4,u,g,k,h,Q4,t,f,Q1,t,g,Q1,Q4,+
a,Q4,Q4,u,g,k,h,Q4,t,f,Q1,t,g,Q1,Q1,+
b,Q2,Q4,u,g,q,h,Q3,t,f,Q1,f,g,Q2,Q1,+
b,Q2,Q2,y,p,w,v,Q2,t,f,Q1,t,g,Q3,Q4,+
b,Q2,Q4,u,g,aa,v,Q4,t,f,Q1,t,s,Q1,Q1,+
a,Q2,Q4,u,g,aa,v,Q3,t,f,Q1,f,g,Q2,Q3,+
a,Q1,Q4,u,g,q,v,Q3,t,t,Q3,f,g,Q1,Q4,+
b,Q1,Q4,u,g,aa,v,Q3,t,t,Q3,f,g,Q1,Q3,+
b,Q4,Q1,u,g,c,bb,Q4,t,t,Q3,f,g,Q1,Q4,+
a,Q1,Q2,u,g,i,bb,Q2,t,t,Q3,f,s,Q2,Q1,+
a,Q1,Q3,u,g,q,v,Q1,t,t,Q2,f,g,Q2,Q3,+
a,Q4,Q4,u,g,c,v,Q4,t,t,Q3,f,g,Q1,Q4,+
a,Q1,Q3,u,g,q,v,Q3,t,t,Q3,f,g,Q2,Q4,+
b,Q4,Q4,u,g,c,h,Q4,t,t,Q3,f,g,Q3,Q4,+
b,Q4,Q3,u,g,aa,bb,Q4,t,t,Q2,f,g,Q1,Q4,+
b,Q4,Q3,u,g,c,v,Q4,t,t,Q3,f,g,Q1,Q4,+
a,Q3,Q2,u,g,c,v,Q3,t,t,Q3,t,g,Q4,Q4,+
a,Q3,Q3,u,g,q,h,Q3,t,t,Q2,f,g,Q1,Q1,+
b,Q1,Q4,u,g,c,v,Q4,t,f,Q1,t,g,Q1,Q1,+
b,Q4,Q1,u,g,i,h,Q4,t,f,Q1,f,g,Q4,Q1,+
b,Q4,Q1,u,g,x,v,Q3,t,f,Q1,f,g,Q4,Q4,+
b,Q2,Q2,y,p,w,v,Q4,t,t,Q3,f,g,Q2,Q1,+
b,Q3,Q3,y,p,i,bb,Q4,t,t,Q3,t,g,Q3,Q1,+
b,Q2,Q3,y,p,c,bb,Q3,t,t,Q3,t,g,Q2,Q3,+
b,Q3,Q3,y,p,x,v,Q4,t,t,Q2,t,g,Q4,Q1,+
b,Q4,Q4,u,g,w,h,Q4,t,t,Q3,f,g,Q1,Q4,+
b,Q2,Q2,y,p,aa,v,Q3,t,t,Q2,t,g,Q4,Q4,+
b,Q1,Q4,u,g,x,v,Q1,t,t,Q3,f,g,Q1,Q3,+
a,Q2,Q1,u,g,q,h,Q3,t,t,Q2,f,g,Q1,Q4,+
a,Q4,Q1,u,g,i,bb,Q3,t,f,Q1,t,g,Q1,Q3,+
b,Q2,Q2,u,g,c,v,Q3,t,t,Q3,f,g,?,Q4,+
a,Q1,Q4,u,g,q,v,Q2,t,t,Q2,t,g,Q1,Q1,+
b,Q3,Q2,y,p,w,v,Q1,t,t,Q2,f,g,Q1,Q4,+
a,Q3,Q4,u,g,q,h,Q4,t,t,Q3,f,g,Q1,Q4,+
a,Q4,Q1,?,?,?,?,Q1,f,f,Q1,f,p,?,Q1,+
b,Q3,Q4,u,g,q,h,Q4,t,t,Q3,f,g,Q4,Q3,+
b,Q3,Q2,u,g,k,v,Q4,t,t,Q3,f,g,Q2,Q4,+
b,Q4,Q3,u,g,c,bb,Q4,t,t,Q3,f,g,Q2,Q4,+
b,Q4,Q3,u,g,cc,h,Q4,t,t,Q3,t,g,Q4,Q1,+
b,Q2,Q3,y,p,d,v,Q4,t,f,Q1,t,s,Q2,Q1,+
b,Q4,Q4,u,g,ff,ff,Q4,t,t,Q3,t,g,Q1,Q4,+
b,Q2,Q4,u,g,i,v,Q4,t,t,Q3,f,g,Q1,Q4,+
b,Q2,Q2,y,p,cc,v,Q4,t,t,Q2,f,g,Q3,Q1,+
b,Q4,Q3,u,g,aa,v,Q4,t,f,Q1,f,s,Q3,Q1,+
b,Q4,Q3,u,g,cc,h,Q4,t,t,Q3,f,g,Q4,Q1,+
b,Q4,Q4,u,g,ff,ff,Q4,t,t,Q3,f,g,Q1,Q4,+
b,Q4,Q4,u,g,e,v,Q4,t,t,Q3,f,g,Q1,Q1,+
a,Q1,Q4,y,p,c,v,Q2,t,t,Q3,t,g,Q2,Q4,+
a,Q4,Q4,u,g,aa,v,Q3,t,t,Q2,t,g,Q2,Q1,+
b,Q4,Q4,u,g,e,z,Q4,t,t,Q3,t,g,Q1,Q1,+
a,Q1,Q4,u,g,aa,v,Q3,t,f,Q1,t,g,Q1,Q1,+
a,Q1,Q4,u,g,aa,v,Q1,t,f,Q1,f,g,Q2,Q1,+
a,Q3,Q3,u,g,q,v,Q1,t,f,Q1,t,g,Q3,Q1,+
b,Q2,Q3,u,g,c,bb,Q2,t,f,Q1,t,g,Q2,Q1,+
b,Q1,Q3,u,g,k,v,Q2,t,f,Q1,f,g,Q2,Q1,+
a,Q1,Q4,y,p,x,v,Q3,f,f,Q1,f,g,Q3,Q1,+
b,Q1,Q1,u,g,q,v,Q3,t,t,Q2,t,g,Q2,Q1,+
b,Q1,Q4,u,g,cc,v,Q2,t,f,Q1,f,g,Q2,Q1,+
b,Q2,Q3,u,g,cc,v,Q2,t,t,Q3,f,g,Q1,Q4,+
a,Q4,Q3,u,g,x,v,Q4,t,t,Q2,t,g,Q4,Q4,+
b,Q3,Q2,u,g,x,h,Q4,t,t,Q3,t,g,Q3,Q4,+
b,Q2,Q4,u,g,w,v,Q4,t,f,Q1,t,g,Q4,Q4,+
a,Q4,Q4,u,g,i,bb,Q4,t,t,Q3,f,g,Q1,Q4,+
a,Q1,Q2,u,g,q,v,Q3,t,t,Q3,f,g,Q3,Q4,+
b,Q2,Q1,u,g,i,bb,Q1,t,f,Q1,t,g,Q1,Q1,+
b,Q1,Q4,u,g,aa,v,Q3,t,t,Q2,f,g,Q2,Q4,+
b,Q4,Q3,u,g,q,v,Q4,t,f,Q1,f,s,Q1,Q1,+
b,Q3,Q4,u,g,x,v,Q3,t,t,Q3,f,g,Q4,Q3,+
b,Q1,Q4,y,p,c,v,Q3,t,f,Q1,f,s,Q1,Q1,+
b,Q4,Q4,u,g,w,v,Q3,t,t,Q2,f,g,Q2,Q3,+
b,Q2,Q3,u,g,w,v,Q4,t,f,Q1,t,g,Q1,Q1,+
a,Q1,Q4,u,g,q,v,Q4,t,t,Q3,f,g,?,Q4,+
b,Q1,Q2,u,g,i,v,Q3,t,t,Q2,f,g,Q2,Q3,+
b,Q3,Q3,y,p,c,h,Q3,t,t,Q2,t,g,Q3,Q4,+
b,Q4,Q4,u,g,cc,h,Q4,t,t,Q2,t,g,Q2,Q4,+
a,Q1,Q1,u,g,q,h,Q2,t,t,Q3,f,g,Q2,Q3,+
?,Q2,Q4,u,g,c,bb,Q4,t,t,Q2,f,g,Q1,Q4,+
b,Q1,Q4,u,g,x,v,Q2,t,t,Q3,f,g,Q2,Q1,+
b,Q4,Q4,u,g,e,z,Q4,t,t,Q3,f,g,Q1,Q4,+
b,Q4,Q3,u,g,q,h,Q4,t,t,Q3,t,g,Q4,Q1,+
a,Q1,Q4,u,g,x,h,Q2,t,t,Q3,f,g,Q1,Q4,+
b,Q2,Q4,u,g,x,h,Q2,t,t,Q2,f,g,Q2,Q1,+
b,?,Q1,u,g,k,v,Q2,f,f,Q1,f,g,Q4,Q4,-
b,Q1,Q4,u,g,c,h,Q3,f,f,Q1,f,g,Q4,Q3,-
b,Q1,Q4,u,g,c,v,Q3,f,f,Q1,t,g,Q2,Q1,-
b,Q1,Q1,u,g,d,v,Q2,f,f,Q1,f,g,Q2,Q1,-
a,Q1,Q4,u,g,i,v,Q1,f,f,Q1,f,g,Q3,Q4,-
a,Q2,Q2,y,p,c,v,Q1,f,f,Q1,f,g,Q2,Q1,-
b,Q3,Q2,u,g,d,h,Q4,f,f,Q1,t,g,Q4,Q1,-
a,Q4,Q1,y,p,ff,ff,Q1,f,f,Q1,f,g,Q1,Q1,-
a,Q4,Q2,u,g,i,o,Q2,f,f,Q1,f,g,Q1,Q3,-
a,Q1,Q4,y,p,x,h,Q1,f,f,Q1,t,g,Q2,Q3,-
b,Q4,Q1,u,g,ff,ff,Q1,f,f,Q1,f,g,Q2,Q1,-
b,Q1,Q1,y,p,c,v,Q1,f,f,Q1,f,g,Q2,Q4,-
b,Q1,Q2,y,p,e,dd,Q1,f,f,Q1,f,g,Q2,Q1,-
a,Q3,Q3,u,g,d,v,Q3,f,f,Q1,f,g,Q3,Q1,-
b,Q4,Q2,u,g,q,v,Q1,t,f,Q1,t,g,Q3,Q1,+
b,Q1,Q1,u,g,q,n,Q2,f,f,Q1,f,g,Q3,Q3,+
b,Q3,Q1,?,?,?,?,Q1,f,f,Q1,f,p,?,Q1,+
b,Q3,Q2,u,g,c,v,Q3,f,f,Q1,t,g,Q4,Q1,-
b,Q1,Q3,y,p,m,v,Q1,f,f,Q1,f,g,Q2,Q1,-
b,Q3,Q4,y,p,k,v,Q1,f,f,Q1,f,g,Q2,Q1,-
b,Q3,Q2,u,g,cc,h,Q3,f,f,Q1,t,s,Q4,Q1,-
b,Q1,Q3,u,g,d,v,Q2,f,f,Q1,f,g,Q2,Q1,-
a,Q1,Q3,u,g,i,h,Q2,f,f,Q1,f,g,Q2,Q4,-
a,Q1,Q4,y,p,q,h,Q1,f,f,Q1,f,g,Q4,Q1,-
b,Q2,Q4,y,p,ff,ff,Q1,f,f,Q1,f,g,?,Q1,-
b,Q1,Q1,u,g,m,v,Q1,t,f,Q1,f,s,Q3,Q1,-
b,Q1,Q1,y,p,c,h,Q2,f,f,Q1,f,g,Q4,Q3,-
b,Q2,Q1,y,p,cc,h,Q1,f,f,Q1,f,g,Q3,Q2,-
b,Q1,Q3,u,g,c,v,Q2,f,f,Q1,f,s,Q2,Q1,-
a,Q1,Q2,u,g,q,v,Q2,f,t,Q2,f,g,Q2,Q3,-
b,Q2,Q4,u,g,c,v,Q1,f,t,Q2,f,g,Q1,Q4,-
b,Q1,Q4,u,g,w,h,Q1,f,t,Q2,f,g,Q2,Q2,-
a,?,Q2,u,g,ff,ff,Q1,f,t,Q2,t,g,Q3,Q3,-
b,Q3,Q1,u,g,w,v,Q2,f,t,Q2,f,g,Q4,Q4,-
b,Q1,Q1,y,p,c,v,Q1,f,t,Q2,f,g,Q3,Q2,-
a,Q1,Q2,y,p,j,j,Q1,f,f,Q1,f,g,Q2,Q1,-
b,Q2,Q1,u,g,m,v,Q2,f,f,Q1,t,s,Q4,Q1,-
a,Q1,Q4,u,g,w,v,Q2,f,t,Q2,f,g,Q2,Q2,-
b,Q2,Q1,u,g,w,v,Q1,f,t,Q2,f,g,Q3,Q4,-
b,Q3,Q2,u,g,w,v,Q1,f,t,Q2,f,g,Q3,Q2,-
a,Q1,Q1,u,g,ff,ff,Q1,f,t,Q2,f,g,Q2,Q3,-
a,Q3,Q3,u,g,ff,ff,Q4,f,t,Q2,t,g,Q3,Q2,-
b,Q4,Q4,u,g,ff,ff,Q4,f,t,Q2,f,g,Q1,Q3,-
b,Q3,Q2,u,g,aa,v,Q3,f,t,Q2,t,g,Q4,Q1,-
b,Q1,Q2,u,g,aa,v,Q2,f,t,Q2,f,g,Q2,Q3,-
b,Q1,Q4,u,g,c,v,Q4,f,t,Q2,t,g,Q3,Q3,-
a,Q4,Q2,u,g,ff,ff,Q4,f,t,Q2,f,g,Q1,Q3,-
b,Q1,Q1,u,g,d,v,Q2,f,f,Q1,t,s,Q4,Q1,-
b,Q2,Q1,u,g,c,v,Q2,f,f,Q1,t,s,Q4,Q1,-
a,Q1,Q3,u,g,q,v,Q1,f,f,Q1,f,g,Q2,Q1,-
a,Q2,Q4,u,g,q,h,Q3,f,f,Q1,f,g,Q4,Q2,-
b,Q4,Q4,y,p,ff,ff,Q1,t,f,Q1,t,g,Q1,Q1,-
b,Q2,Q2,u,g,ff,ff,Q4,f,f,Q1,f,g,Q2,Q3,-
b,Q1,Q4,u,g,ff,ff,Q2,f,f,Q1,f,g,Q2,Q1,-
b,Q2,Q2,u,g,k,h,Q2,f,f,Q1,t,s,Q2,Q1,-
a,Q3,Q3,y,p,j,j,Q1,f,f,Q1,f,g,Q2,Q3,-
a,Q2,Q3,u,g,w,v,Q2,f,f,Q1,t,g,Q4,Q3,-
b,Q1,Q2,y,p,c,v,Q3,f,f,Q1,t,g,Q2,Q3,-
a,Q1,Q1,u,g,aa,v,Q1,f,f,Q1,f,g,Q3,Q2,-
