attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,class
M,VH,VL,L,VH,VH,VH,H,M,L,VL,VL,VL,VL,VL,VL,L,M,H,VH,M,class_0
L,H,VH,VH,VH,VH,VH,VH,H,M,VL,VL,VL,VL,VL,VL,L,L,L,VL,VH,class_0
H,VH,VL,L,VL,L,VL,VL,VL,VL,M,L,M,VH,VH,VH,H,H,VL,VH,VH,class_2
VH,VL,VL,VL,M,L,L,L,L,M,H,VL,VH,H,H,VH,VH,VH,VH,H,VL,class_2
VL,L,H,H,L,VL,VL,VL,VL,H,L,M,M,VH,VH,H,VH,VH,H,VH,L,class_2
VH,VH,H,VL,M,L,VL,H,M,H,L,M,VH,H,H,L,H,H,VH,VH,M,class_2
VL,VH,H,VH,M,M,H,H,M,VL,VL,VL,VL,VH,M,VL,M,L,L,H,VL,class_0
VH,VH,VH,VH,M,H,H,VH,M,H,L,VL,VL,L,M,L,H,L,M,VL,L,class_1
L,M,M,VL,M,VH,M,VH,VH,VH,VH,H,L,M,M,M,M,H,M,L,VH,class_1
M,M,VH,M,L,VL,L,VL,VL,L,M,L,VH,VH,VH,VH,H,H,VH,L,H,class_0
L,L,VH,VH,H,H,H,H,M,M,VL,VL,L,L,VL,L,L,VL,H,L,H,class_1
VL,H,L,VH,M,H,H,H,VH,VH,H,H,L,VL,VL,M,M,L,H,VL,VH,class_1
M,VH,VH,L,VL,M,VL,VL,H,VL,VL,VH,H,H,VH,VH,VH,VH,VH,VH,M,class_2
VH,VH,H,VH,M,VH,H,M,VH,H,VL,M,VL,L,L,M,M,M,VL,H,VL,class_0
H,VL,L,M,M,H,M,VL,L,H,M,L,VH,VH,H,VH,L,H,M,M,M,class_2
H,L,VL,VL,L,VL,VL,L,M,L,M,H,H,H,H,H,L,H,VL,VH,L,class_2
L,M,VL,VH,VH,H,VH,VH,VH,M,M,VL,L,L,VL,H,L,H,M,L,VH,class_1
M,M,VH,VL,VL,M,VL,VL,L,L,L,L,VH,VH,H,VH,VH,VH,M,L,H,class_2
L,H,VH,M,M,H,L,VL,VL,VL,L,M,M,VH,M,VH,M,M,H,H,VH,class_0
M,L,H,L,H,M,H,M,VH,VH,VH,VH,VH,H,L,L,VL,L,VL,L,VH,class_1
VL,VH,VH,VH,H,M,M,M,L,H,L,VL,L,L,M,H,M,M,L,VL,M,class_0
M,VL,VL,L,M,L,VL,L,L,L,H,M,H,VH,VH,VH,M,H,H,L,H,class_2
H,M,H,VH,VH,VH,H,VH,L,VH,H,H,VL,VL,VL,VL,M,VL,L,VH,VL,class_1
L,VL,VL,VL,L,L,VL,L,M,L,H,VH,H,M,H,VH,H,VH,H,VL,L,class_2
H,VL,M,M,VL,L,L,VL,L,L,M,VH,H,L,VH,H,VH,H,VH,M,H,class_2
VL,L,M,M,H,M,M,L,H,H,H,VH,H,H,L,M,L,H,M,H,M,class_2
VH,VL,L,M,M,VL,VL,L,VL,VL,M,H,H,VH,VH,VH,M,VH,VH,VH,H,class_0
M,H,L,H,M,L,M,VL,VL,L,VL,VL,H,VH,M,H,H,H,L,VH,H,class_0
H,M,L,L,VL,L,M,M,VH,M,VH,VH,L,VH,L,M,L,L,VH,VL,M,class_2
VL,VL,H,L,VH,M,M,L,VL,VL,M,L,L,H,M,M,L,H,H,VH,M,class_0
M,M,H,VL,H,L,VL,L,L,L,H,H,VH,VH,VH,VH,H,VH,VH,VH,M,class_2
M,M,VH,VH,H,H,H,M,L,L,M,L,M,VL,M,H,H,L,H,H,M,class_0
L,M,L,H,H,M,H,M,VH,M,VH,H,M,VL,L,M,VL,L,L,VL,H,class_1
H,H,M,M,VH,VH,VH,M,VH,H,L,VL,VL,VL,VL,M,H,H,H,VH,M,class_0
M,H,H,VL,L,M,M,L,M,VL,L,L,L,M,M,M,M,H,VH,H,VL,class_0
L,VL,VH,VH,VH,H,VH,L,L,VL,L,M,L,M,VL,H,M,M,L,M,VL,class_0
H,L,VL,VL,M,L,H,L,L,VL,VL,H,M,M,H,H,M,M,VH,H,M,class_0
VL,VH,H,H,VH,VH,VH,VH,VH,VL,VL,L,VL,L,VL,L,M,L,H,M,M,class_0
L,L,VL,VL,L,M,L,H,M,VH,VH,VH,VH,M,H,VL,VL,M,L,M,H,class_2
M,L,L,H,L,M,M,M,VH,M,H,L,VL,VL,M,L,L,M,H,VH,H,class_1
H,H,VH,H,H,VH,VH,VH,VH,H,L,L,L,L,M,L,VL,VL,M,VL,H,class_0
M,VL,H,H,H,H,VH,VH,VH,H,M,VL,VL,VL,VL,VL,L,L,VL,VL,VH,class_1
VH,L,VL,L,VL,VL,L,VH,VH,M,VH,VH,H,M,H,M,M,VL,M,M,L,class_1
H,M,M,H,VH,VH,H,M,H,H,M,VL,M,L,L,M,M,M,H,L,VL,class_0
M,L,VH,H,VL,M,VL,VL,L,L,M,M,M,VH,VH,VH,VH,VH,VH,H,H,class_2
L,VH,VH,VH,H,M,H,VH,H,VH,H,VL,L,L,L,M,VL,H,L,VL,M,class_1
H,VH,H,VH,H,VH,VH,VH,H,M,M,L,L,L,M,M,L,M,L,M,L,class_1
H,M,VL,VH,VH,H,H,VH,VH,VH,M,VL,VL,M,VL,VL,L,VL,M,VL,L,class_1
M,H,H,VH,VH,VH,VH,VH,L,M,M,VL,VL,VL,L,L,M,M,M,L,H,class_0
VH,H,VL,VL,L,L,VL,VL,VL,L,M,L,M,M,VH,VH,M,VH,H,VH,VL,class_2
VL,M,L,VL,H,VL,L,VL,L,VL,VL,H,M,M,VH,H,VH,H,VH,VH,L,class_0
L,L,L,M,VL,L,VL,VL,L,M,L,L,H,H,VH,H,VH,M,H,H,VH,class_2
H,VH,M,H,L,H,VH,M,H,VH,VH,M,VL,M,L,VL,VL,M,L,VL,VH,class_1
H,H,H,VL,M,VL,M,VH,VH,H,VH,M,VH,VH,M,VL,M,H,VH,L,M,class_1
L,H,M,L,VL,VL,L,M,M,VH,H,VH,VH,M,M,M,M,M,L,VH,VL,class_2
VH,H,VL,L,M,L,VL,L,VL,H,VH,VH,VH,M,H,H,M,VH,L,H,L,class_2
VL,M,VL,H,VH,VH,VH,M,H,H,H,VL,L,VL,L,VL,H,L,VL,VH,L,class_0
L,L,M,L,VL,VL,VL,M,M,L,H,H,L,M,H,H,L,L,L,VH,H,class_2
VH,VH,H,H,H,M,M,M,M,VL,L,VL,L,H,M,M,VH,L,VH,VH,L,class_0
H,L,H,VH,H,H,H,VL,L,M,VL,L,L,L,M,H,VH,H,VH,VH,M,class_0
H,L,M,VH,VH,VH,VH,H,VH,M,M,VL,L,VL,VL,VL,M,VL,VL,L,H,class_0
H,VH,H,M,VH,VH,VH,H,H,H,H,H,VL,L,L,L,VL,M,L,H,M,class_1
L,M,M,L,L,H,M,VH,VH,M,VH,M,L,M,VL,L,L,VL,H,VL,VH,class_1
VH,M,H,M,VL,M,M,L,M,H,VH,VH,VH,L,M,H,VL,M,VL,M,L,class_2
H,L,VL,L,H,H,H,VH,L,L,M,L,M,VL,H,H,H,M,M,H,H,class_0
L,VH,M,L,VH,H,H,L,L,VL,VL,L,L,M,H,H,H,H,L,VH,H,class_0
VL,VL,L,H,VL,L,M,L,L,VL,M,VL,H,VH,VH,VH,VH,VH,M,VH,H,class_2
VL,H,L,L,VL,M,M,VL,L,VL,M,VH,VH,VH,M,VH,H,M,VL,H,VH,class_2
VL,M,L,VH,M,M,M,M,VH,VH,VH,VH,M,H,L,L,VL,L,VL,L,VH,class_1
H,VH,VH,M,VH,VH,VH,VH,VH,VH,L,VL,VL,VL,VL,VL,L,L,VL,VH,VH,class_1
VH,L,M,H,M,H,M,M,M,L,L,L,M,L,M,VH,H,VH,VH,VH,H,class_0
L,L,L,H,M,L,VL,VL,VL,L,L,M,VH,VH,VH,VH,VH,VH,H,VH,M,class_0
H,VH,M,H,VH,M,H,VH,H,VH,M,VH,M,VL,L,M,VL,L,M,M,M,class_1
L,M,L,M,L,H,L,M,VL,L,L,M,VL,H,L,H,VH,VH,VH,VH,L,class_0
VL,VH,L,M,H,M,VH,L,M,VL,L,H,M,VH,VH,L,VH,H,H,H,L,class_0
VL,M,VH,H,VH,VH,VH,VH,M,H,L,L,M,L,VL,L,VL,VL,L,VL,H,class_1
L,L,VH,H,H,H,M,M,VL,L,L,M,M,VL,H,VL,M,H,L,VH,M,class_0
L,VL,L,M,H,H,VH,M,M,VH,VH,H,H,VL,L,VL,VL,VL,VL,L,H,class_1
H,L,VH,L,VL,L,H,M,M,VH,VH,VH,M,M,H,L,VL,H,VL,VL,L,class_2
L,L,VH,H,VH,H,VH,VH,H,M,VL,VL,L,M,VL,L,L,H,L,VH,VL,class_0
L,VH,H,M,VH,H,H,L,H,M,M,L,L,L,L,VL,H,M,L,VH,VH,class_1
M,L,M,M,M,L,VL,VL,M,M,L,H,M,VH,VH,H,VH,VH,M,M,L,class_2
VL,M,M,H,VL,L,VL,L,M,L,H,VH,M,H,H,H,H,VH,VH,VH,VH,class_2
H,L,VH,L,VL,VL,VL,L,L,L,VL,H,L,VH,H,H,VH,M,VH,VL,H,class_2
L,VH,VL,M,L,L,L,H,VH,VH,VH,VH,M,H,M,H,M,VL,VL,L,L,class_1
M,M,H,L,VH,VH,H,H,M,M,L,L,VL,L,VL,M,M,M,H,L,M,class_0
M,H,VH,VH,VH,H,VH,VH,VH,H,VL,VL,VL,VL,L,M,M,VL,L,M,M,class_0
H,VH,L,VH,H,H,H,VH,VH,H,H,M,VH,M,VL,L,M,VL,VL,H,VL,class_1
VL,M,VH,H,H,VH,VH,H,H,L,L,L,VL,L,M,M,H,M,L,VH,VH,class_0
VH,VH,L,L,M,M,M,H,VH,VH,VH,H,VH,H,L,VL,H,L,L,M,L,class_1
VL,VH,VH,L,VH,H,H,L,H,M,VL,L,M,L,H,H,H,VH,M,M,VH,class_0
VH,M,VL,L,L,L,M,L,L,H,VH,VH,VH,VH,H,L,L,VL,L,H,L,class_2
VL,VL,M,VL,L,L,L,VL,VH,H,VH,VH,L,M,M,VL,H,L,VL,VH,M,class_2
H,VH,VH,VH,VH,VH,VH,VH,H,H,H,VL,VL,VL,VL,VL,L,L,VL,M,L,class_1
VH,M,VL,L,VL,M,L,H,H,VH,H,VH,VH,H,L,M,L,M,VL,H,VH,class_2
H,M,VH,H,H,L,M,M,VL,L,L,VL,M,H,H,H,M,VH,H,L,VH,class_0
VL,VL,M,VL,M,M,H,H,H,VH,H,H,L,L,M,M,VL,VL,L,M,M,class_1
VH,L,VL,L,M,VL,VL,M,VH,M,VH,VH,M,M,VH,M,M,M,M,M,M,class_2
H,H,VL,VH,H,H,H,H,VH,M,VL,L,L,L,VL,VL,L,L,VL,M,M,class_1
H,H,H,VL,L,L,VL,L,H,M,VH,M,VH,VH,H,H,VH,VH,H,M,L,class_2
M,VH,VH,H,VH,VH,H,VH,VH,M,L,L,VL,VL,M,VL,VL,L,L,M,L,class_1
H,M,L,L,VL,L,H,L,VH,VH,VH,VH,M,M,M,H,VL,L,H,VL,VH,class_2
M,L,M,M,VL,H,M,H,VH,H,VH,H,M,VL,L,L,VL,L,VL,L,M,class_1
H,VL,L,VL,M,L,H,M,M,VH,VH,VH,M,H,L,M,L,M,L,VL,VH,class_1
L,VL,H,L,VL,VL,VL,VL,L,M,VL,M,VH,H,VH,VH,H,H,VH,L,H,class_2
VH,VH,VH,M,VH,VH,H,H,VH,M,VL,L,VL,VL,VL,L,M,VL,L,H,H,class_0
VL,VL,VL,L,VL,VL,VL,VL,VL,VL,VL,H,H,VH,VH,VH,VH,H,L,M,VL,class_0
VH,VH,M,VL,H,M,VL,L,VL,H,H,VH,VH,M,VH,M,H,VL,VH,L,M,class_2
H,H,VL,M,L,M,M,H,H,H,VH,VH,L,VL,L,M,H,VL,VL,H,L,class_1
VL,L,L,VL,M,L,VL,H,VL,VL,H,M,VH,H,H,H,H,VH,VH,M,L,class_2
L,L,M,M,H,H,VH,VH,VH,H,L,VL,L,H,VL,VL,L,VL,VL,VL,H,class_1
M,VL,VL,M,VL,L,VL,VL,VL,H,H,L,L,VH,VH,VH,M,VH,H,L,L,class_2
L,M,VH,H,L,M,M,H,VH,VH,M,L,L,L,M,L,VL,VL,H,H,VL,class_1
H,M,H,VH,VH,H,H,L,H,H,L,H,L,M,L,L,M,VH,VL,M,H,class_0
H,VL,L,VH,VH,M,H,M,M,VH,VH,M,L,VL,VL,M,L,VL,L,M,M,class_1
VH,H,H,M,M,L,H,H,M,L,VL,L,M,L,H,M,M,VH,L,M,M,class_0
VL,VL,VL,VL,L,M,M,VL,L,M,H,M,VH,VH,H,H,M,VH,L,L,VL,class_2
L,VH,VL,H,VH,H,M,H,M,VH,H,L,H,M,M,VL,L,VL,VL,VL,H,class_1
M,M,H,H,VH,H,H,H,VH,M,VH,L,VH,VL,L,VL,H,L,L,M,H,class_1
VH,L,M,H,H,L,VH,H,L,M,VH,VH,VL,VL,VL,L,L,M,L,VH,L,class_1
M,M,M,VL,L,VL,M,M,H,H,VH,VH,VH,H,L,L,M,L,H,VH,VH,class_2
VH,H,L,L,H,VL,L,VL,VL,M,H,L,M,VH,VH,H,H,M,L,H,VH,class_2
M,M,M,VL,L,M,M,L,VH,H,VH,VH,H,M,L,L,M,L,L,VL,H,class_1
VL,H,VH,VH,VH,M,H,VH,H,M,M,VL,M,L,M,L,VH,L,VL,VH,VH,class_0
VH,H,M,L,VL,L,VL,VL,VL,L,M,H,VH,VH,VH,VH,VH,VH,VH,M,H,class_2
VH,VL,VH,M,M,L,M,L,VH,H,H,M,L,M,M,L,VL,L,L,VH,M,class_1
M,H,VL,M,M,L,M,M,H,VH,VH,VH,M,H,M,H,VL,VH,L,M,L,class_2
VH,VH,H,L,VH,H,VH,VH,VH,VH,VL,VL,VL,L,VL,L,VL,M,L,VL,M,class_1
M,M,H,VH,VH,VH,H,M,M,H,VL,M,VL,VL,VL,M,M,M,L,L,M,class_0
M,H,VL,H,M,VH,VH,VH,VH,H,H,VL,VL,VL,L,VL,VL,L,VL,L,VH,class_1
H,H,H,M,M,VL,VL,VL,L,VL,L,VH,H,M,VH,VH,H,H,VH,H,M,class_0
L,VL,M,M,VL,L,VL,VL,M,L,L,H,H,H,VH,H,VH,H,VH,H,H,class_2
L,M,L,M,VH,M,VH,M,VH,M,M,M,VL,VL,L,VL,VL,VL,H,M,L,class_1
L,VL,VL,VL,VL,VL,M,M,M,M,VH,M,VH,H,H,H,M,L,M,VL,H,class_2
VH,VL,H,M,VL,L,VL,VL,L,VL,H,M,H,VH,VH,VH,VH,M,VH,H,L,class_2
VL,H,VL,VL,VL,VL,L,L,H,L,H,H,H,VH,VH,M,H,L,M,VL,L,class_2
L,VH,VH,M,L,M,H,M,VH,H,VH,H,L,M,L,L,H,H,M,VL,M,class_1
M,H,H,VH,VH,VH,H,M,L,VL,L,L,VL,VL,VL,M,M,VL,H,M,M,class_0
H,M,L,VL,VL,VL,L,M,VL,M,H,H,H,VH,L,VH,H,L,M,H,VL,class_2
M,VH,VH,VH,VH,VH,H,VH,M,M,L,VL,L,VL,VL,VL,M,L,VL,L,L,class_0
VH,VH,L,H,H,H,VH,M,VL,H,L,L,VL,L,L,L,L,H,L,H,VL,class_0
L,L,L,L,L,M,L,VL,L,H,L,L,H,H,VH,H,VH,M,H,H,H,class_2
L,M,VH,VL,L,L,L,VL,VL,VL,VL,L,VH,VH,VH,M,M,H,H,M,H,class_2
M,VL,H,L,VL,M,L,L,L,M,M,VH,H,L,H,M,L,H,H,M,VH,class_2
VH,VL,H,L,L,VL,L,L,L,L,M,M,VH,H,H,H,VH,H,H,M,M,class_2
VH,VL,L,H,H,VL,VL,VL,L,VL,M,M,H,VH,VH,VH,VH,H,VH,VL,M,class_2
L,H,L,L,M,L,L,H,H,VH,VH,H,H,L,L,M,VL,VL,L,L,VH,class_1
M,VH,M,VH,VH,VH,VH,VH,M,M,VL,VL,VL,VL,L,VL,M,L,L,VL,VL,class_1
H,H,L,VL,M,L,VL,H,H,VH,VH,VH,H,VH,L,L,L,L,L,L,VL,class_2
L,VH,H,VH,VH,VH,VH,H,VH,H,L,VL,L,VL,L,L,L,M,H,VL,VL,class_1
VH,L,M,M,H,M,H,L,L,M,H,M,VL,L,H,VL,M,H,VL,H,VL,class_0
M,L,VL,L,H,VL,VL,L,M,H,L,VH,M,H,VH,H,VH,M,VH,VH,H,class_2
VH,VL,VL,VL,L,VL,H,H,VH,VH,VH,M,H,VL,M,L,L,L,M,VH,VH,class_1
L,H,M,H,H,VL,H,M,L,L,VL,M,H,L,M,M,H,H,VH,VH,M,class_0
VL,VH,VH,M,VH,H,VH,H,M,VH,M,VL,M,VL,VL,VL,M,VL,VL,VL,H,class_1
VL,L,H,VL,L,VL,M,M,M,VH,VH,VH,M,VH,M,M,M,M,VH,M,VH,class_2
M,H,M,VH,VL,H,H,H,VH,VH,H,VH,M,L,VL,M,L,L,M,VH,H,class_1
VH,L,VL,M,L,VL,VL,VL,M,L,VL,M,M,VH,H,H,VH,VH,M,VH,M,class_2
L,VH,M,L,L,L,L,H,L,H,VH,VH,H,VH,M,VL,M,VL,VL,L,L,class_2
VH,L,L,M,M,L,M,H,VH,VH,VH,H,M,M,VL,VL,VL,L,M,VL,H,class_1
M,VH,L,VL,M,H,VL,H,L,L,M,M,M,L,H,H,M,VH,VH,VH,M,class_0
M,VH,VH,M,H,VH,H,VH,M,H,VL,VL,VL,M,VL,VL,VL,VL,VL,M,H,class_1
L,VH,L,VL,M,VL,L,VH,H,H,VH,VH,M,VH,H,H,VL,M,L,VL,L,class_2
M,VH,M,VH,M,L,M,H,M,VL,L,M,VL,H,H,M,H,L,H,M,VL,class_0
L,M,M,M,H,VH,H,H,H,VH,M,VL,L,VL,VL,VL,H,VL,VL,H,M,class_1
VH,L,L,VH,VH,H,VH,M,M,H,M,H,VL,VL,VL,L,L,VL,L,VL,VL,class_1
VH,H,VH,H,VH,H,VH,M,M,H,VL,VL,L,VL,M,H,L,H,VL,VH,M,class_0
H,H,VH,VH,M,VH,H,H,VH,H,VH,M,VL,L,VL,VL,L,VL,M,L,M,class_1
L,VH,VL,VH,L,L,VL,VL,L,M,VL,VH,M,M,H,H,M,H,H,H,L,class_2
VH,H,M,VH,VH,VH,VH,H,H,H,M,VL,VL,L,L,M,VL,VL,L,L,VH,class_1
VL,H,H,H,M,M,H,H,H,M,H,VH,H,H,L,VL,VL,H,L,L,VH,class_1
VL,L,L,VL,VL,VL,VL,VL,VL,VL,H,L,M,VH,VH,VH,L,VH,VH,VH,H,class_0
L,VL,VL,L,M,L,M,M,L,VL,M,VL,M,H,H,VH,H,M,VH,L,VL,class_0
L,H,VL,H,L,M,M,H,VH,VH,VH,VH,L,VH,L,M,M,VL,M,L,VH,class_1
VL,VH,H,VH,H,VH,H,H,VH,L,L,M,L,M,M,L,M,VH,L,H,M,class_0
H,M,VH,VH,H,H,H,L,M,M,VL,VL,L,M,L,VL,L,L,H,L,M,class_0
VL,H,L,M,M,VL,L,L,VL,VL,M,M,H,H,VH,VH,H,M,VH,VH,VL,class_2
L,VL,L,H,L,H,VH,VH,H,H,H,L,M,L,L,M,VL,L,VH,M,H,class_1
M,L,L,H,L,L,L,L,L,M,H,M,H,H,M,L,H,M,H,M,VL,class_2
M,L,H,VH,VH,VH,VH,VH,H,L,L,VL,VL,L,VL,VL,VL,VL,VL,VH,L,class_1
L,M,H,VH,VH,VH,VH,VH,VH,L,L,VL,VL,VL,VL,VL,VL,VL,M,VL,VH,class_1
M,H,VH,VH,H,VH,H,L,VH,VH,L,VL,L,L,L,VL,VH,M,VL,L,L,class_0
VH,L,H,L,VL,VL,VL,VL,VL,VL,M,VH,H,M,VH,VH,H,VH,VH,H,VL,class_2
H,H,VH,M,VH,H,VH,VH,VH,M,H,VL,VL,L,L,VL,L,L,VL,L,H,class_1
H,VH,VH,VH,VH,H,VH,H,VH,M,VL,M,L,VL,L,VL,L,VL,H,VL,H,class_1
VH,VL,M,H,H,H,H,M,VL,VL,L,VL,VL,M,M,M,H,VH,H,M,VL,class_0
H,VH,VL,VH,M,H,L,H,H,H,H,VH,L,H,H,VL,M,M,L,VH,L,class_1
L,VH,VH,VH,VH,VH,VH,H,VH,L,H,VL,L,L,L,VL,VL,VH,H,VL,H,class_1
M,VH,VL,L,L,VL,VL,M,H,VH,VH,VH,H,H,H,L,L,M,L,H,H,class_2
VL,M,VH,VH,M,L,H,L,L,VL,VL,VL,M,L,H,H,VH,M,L,L,M,class_0
VH,VL,H,L,H,H,VH,VH,H,H,L,L,M,VL,L,VL,M,VL,L,VL,M,class_1
VH,H,H,VH,VH,M,H,VH,H,M,H,L,VL,VL,VL,L,VL,VL,VL,L,VH,class_1
M,VH,VH,M,VH,H,VH,H,VH,L,L,L,VL,VL,M,L,L,L,VL,H,H,class_1
VL,L,VL,VH,VL,M,L,VL,VL,L,L,H,VH,H,VH,VH,VH,VH,H,L,VH,class_0
L,M,L,L,VH,L,H,VH,H,M,VH,M,M,M,VL,M,L,M,VL,VL,H,class_1
VL,M,VL,L,L,VL,M,M,M,H,H,H,M,H,M,VH,H,L,H,H,VH,class_2
L,VL,VH,H,H,VH,H,L,M,L,L,L,L,VL,M,M,M,M,H,M,M,class_0
M,M,VL,L,VL,L,M,VL,M,H,H,VH,H,H,M,VH,L,M,M,L,H,class_2
M,VH,H,L,VH,H,VH,VH,L,H,VL,VL,M,L,M,M,H,L,L,H,VH,class_0
H,M,L,L,L,H,H,M,H,L,H,VH,M,M,L,VL,L,L,VL,L,L,class_1
M,VL,VH,H,L,M,VH,M,H,M,H,M,VH,VL,L,L,VL,VL,VL,L,M,class_1
H,L,H,L,M,L,VL,VL,VL,VL,M,H,H,VH,VH,H,VH,VH,H,VL,L,class_2
H,L,M,VL,VL,VL,M,VL,M,L,M,VH,VH,VH,VH,H,M,M,H,L,VH,class_2
VL,L,M,L,M,L,L,H,VH,VH,VH,VH,H,L,L,VL,M,L,L,VL,VH,class_1
H,L,VL,L,L,VL,L,M,M,VH,VH,H,VH,L,M,H,L,H,H,L,L,class_2
VL,VH,H,VL,M,L,VL,VL,VL,L,M,H,VH,M,VH,H,M,VH,VH,H,L,class_0
VL,L,M,M,M,M,H,M,M,VH,VH,H,H,L,L,VL,L,L,VL,H,M,class_1
M,M,VH,M,VH,VH,VH,VH,L,VL,L,L,VL,VL,L,L,VL,M,L,VL,VH,class_0
H,M,L,M,L,VL,L,VL,VL,H,VH,VH,VH,M,M,VH,M,M,H,VH,M,class_2
H,L,VL,VL,L,M,L,L,M,M,H,M,H,H,H,H,M,VH,H,L,VL,class_2
M,H,VL,L,M,M,VL,VL,VL,L,VL,M,L,VH,VH,VH,VH,VH,H,H,H,class_0
H,H,M,H,VH,VH,VH,H,H,VH,L,VH,M,L,VL,VL,H,H,VL,M,VH,class_1
H,VL,M,VL,VL,VL,VL,M,H,M,M,H,M,VH,H,H,M,H,H,VH,VH,class_2
M,VH,L,VL,L,L,M,VL,L,H,H,VH,VH,L,VH,L,M,M,M,VL,M,class_2
M,VH,VH,VH,VH,VH,VH,VH,H,M,H,L,VL,VL,VL,L,VL,L,VL,M,M,class_1
H,H,VL,VL,VL,VL,M,L,VH,VH,H,VH,VH,H,L,VL,M,VL,L,VL,H,class_1
VL,H,M,M,VH,L,M,L,L,VL,VL,H,L,H,H,M,H,L,H,VL,L,class_0
VL,VH,VL,L,VL,L,VL,H,VH,VH,VH,VH,H,H,M,L,L,VL,VL,L,H,class_2
H,M,L,VL,VL,L,VL,VL,VL,L,H,H,H,H,VH,VH,VH,H,H,M,H,class_2
M,VL,L,H,H,VH,H,M,H,VH,M,M,VL,VL,L,VL,VL,VL,VL,H,M,class_1
L,M,L,VH,L,VL,L,M,VH,VH,VH,VH,M,VH,H,L,VL,L,VL,L,H,class_2
VH,L,L,M,VL,H,L,VL,L,VL,L,L,H,VH,VH,VH,H,VH,H,H,L,class_0
VH,L,M,L,L,VL,L,L,VL,H,VH,H,M,VH,H,M,M,H,VH,L,L,class_2
